filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
image_098.jpg,1514118,"{""used_as"":""dataset"",""caption"":""firefighters combating fire""}",5,0,"{""name"":""rect"",""x"":1710,""y"":1200,""width"":63,""height"":59}","{""class_name"":""hardhat""}"
image_098.jpg,1514118,"{""used_as"":""dataset"",""caption"":""firefighters combating fire""}",5,1,"{""name"":""rect"",""x"":721,""y"":1300,""width"":57,""height"":50}","{""class_name"":""hardhat""}"
image_098.jpg,1514118,"{""used_as"":""dataset"",""caption"":""firefighters combating fire""}",5,2,"{""name"":""rect"",""x"":1966,""y"":1588,""width"":50,""height"":54}","{""class_name"":""boots""}"
image_098.jpg,1514118,"{""used_as"":""dataset"",""caption"":""firefighters combating fire""}",5,3,"{""name"":""rect"",""x"":1527,""y"":1591,""width"":63,""height"":28}","{""class_name"":""boots""}"
image_098.jpg,1514118,"{""used_as"":""dataset"",""caption"":""firefighters combating fire""}",5,4,"{""name"":""rect"",""x"":1971,""y"":1219,""width"":74,""height"":57}","{""class_name"":""hardhat""}"
image_065.jpg,186040,"{""used_as"":""dataset""}",6,0,"{""name"":""rect"",""x"":1166,""y"":279,""width"":306,""height"":185}","{""class_name"":""hardhat""}"
image_065.jpg,186040,"{""used_as"":""dataset""}",6,1,"{""name"":""rect"",""x"":1522,""y"":238,""width"":202,""height"":128}","{""class_name"":""hardhat""}"
image_065.jpg,186040,"{""used_as"":""dataset""}",6,2,"{""name"":""rect"",""x"":378,""y"":427,""width"":74,""height"":46}","{""class_name"":""hardhat""}"
image_065.jpg,186040,"{""used_as"":""dataset""}",6,3,"{""name"":""rect"",""x"":737,""y"":232,""width"":224,""height"":160}","{""class_name"":""hardhat""}"
image_065.jpg,186040,"{""used_as"":""dataset""}",6,4,"{""name"":""rect"",""x"":1141,""y"":544,""width"":53,""height"":38}","{""class_name"":""hardhat""}"
image_065.jpg,186040,"{""used_as"":""dataset""}",6,5,"{""name"":""rect"",""x"":1499,""y"":381,""width"":48,""height"":50}","{""class_name"":""hardhat""}"
image_059.jpg,42329,"{""used_as"":""dataset""}",5,0,"{""name"":""rect"",""x"":355,""y"":46,""width"":52,""height"":35}","{""class_name"":""hardhat""}"
image_059.jpg,42329,"{""used_as"":""dataset""}",5,1,"{""name"":""rect"",""x"":199,""y"":40,""width"":61,""height"":33}","{""class_name"":""hardhat""}"
image_059.jpg,42329,"{""used_as"":""dataset""}",5,2,"{""name"":""rect"",""x"":217,""y"":75,""width"":35,""height"":41}","{""class_name"":""mask""}"
image_059.jpg,42329,"{""used_as"":""dataset""}",5,3,"{""name"":""rect"",""x"":363,""y"":81,""width"":33,""height"":39}","{""class_name"":""mask""}"
image_059.jpg,42329,"{""used_as"":""dataset""}",5,4,"{""name"":""rect"",""x"":163,""y"":105,""width"":99,""height"":95}","{""class_name"":""vest""}"
image_057.jpg,147268,"{""used_as"":""dataset""}",1,0,"{""name"":""rect"",""x"":380,""y"":268,""width"":551,""height"":784}","{""class_name"":""mask""}"
image_034.jpg,70382,"{""used_as"":""dataset""}",2,0,"{""name"":""rect"",""x"":403,""y"":99,""width"":216,""height"":169}","{""class_name"":""hardhat""}"
image_034.jpg,70382,"{""used_as"":""dataset""}",2,1,"{""name"":""rect"",""x"":425,""y"":268,""width"":135,""height"":104}","{""class_name"":""mask""}"
image_094.jpg,31685,"{""used_as"":""dataset""}",2,0,"{""name"":""rect"",""x"":327,""y"":57,""width"":65,""height"":78}","{""class_name"":""hardhat""}"
image_094.jpg,31685,"{""used_as"":""dataset""}",2,1,"{""name"":""rect"",""x"":23,""y"":55,""width"":63,""height"":84}","{""class_name"":""hardhat""}"
image_042.png,44352,"{""used_as"":""dataset""}",2,0,"{""name"":""rect"",""x"":92,""y"":81,""width"":162,""height"":83}","{""class_name"":""hardhat""}"
image_042.png,44352,"{""used_as"":""dataset""}",2,1,"{""name"":""rect"",""x"":133,""y"":147,""width"":52,""height"":66}","{""class_name"":""mask""}"
image_101.jpg,61696,"{""used_as"":""dataset""}",1,0,"{""name"":""rect"",""x"":665,""y"":152,""width"":128,""height"":141}","{""class_name"":""mask""}"
image_037.jpg,1521339,"{""used_as"":""dataset""}",2,0,"{""name"":""rect"",""x"":1952,""y"":581,""width"":496,""height"":457}","{""class_name"":""mask""}"
image_037.jpg,1521339,"{""used_as"":""dataset""}",2,1,"{""name"":""rect"",""x"":1456,""y"":940,""width"":490,""height"":542}","{""class_name"":""mask""}"
image_035.jpg,1314066,"{""used_as"":""dataset""}",2,0,"{""name"":""rect"",""x"":1617,""y"":507,""width"":286,""height"":172}","{""class_name"":""hardhat""}"
image_035.jpg,1314066,"{""used_as"":""dataset""}",2,1,"{""name"":""rect"",""x"":273,""y"":652,""width"":194,""height"":110}","{""class_name"":""hardhat""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,0,"{""name"":""rect"",""x"":858,""y"":87,""width"":66,""height"":33}","{""class_name"":""mask""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,1,"{""name"":""rect"",""x"":490,""y"":52,""width"":99,""height"":61}","{""class_name"":""mask""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,2,"{""name"":""rect"",""x"":208,""y"":97,""width"":87,""height"":63}","{""class_name"":""mask""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,3,"{""name"":""rect"",""x"":441,""y"":134,""width"":170,""height"":153}","{""class_name"":""vest""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,4,"{""name"":""rect"",""x"":825,""y"":141,""width"":189,""height"":151}","{""class_name"":""vest""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,5,"{""name"":""rect"",""x"":653,""y"":264,""width"":94,""height"":115}","{""class_name"":""vest""}"
image_078.jpg,362444,"{""used_as"":""dataset""}",7,6,"{""name"":""rect"",""x"":660,""y"":214,""width"":54,""height"":38}","{""class_name"":""mask""}"
image_036.jpg,427350,"{""used_as"":""dataset""}",3,0,"{""name"":""rect"",""x"":1053,""y"":1000,""width"":84,""height"":57}","{""class_name"":""mask""}"
image_036.jpg,427350,"{""used_as"":""dataset""}",3,1,"{""name"":""rect"",""x"":1617,""y"":383,""width"":762,""height"":855}","{""class_name"":""mask""}"
image_036.jpg,427350,"{""used_as"":""dataset""}",3,2,"{""name"":""rect"",""x"":1824,""y"":744,""width"":436,""height"":300}","{""class_name"":""mask""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,0,"{""name"":""rect"",""x"":954,""y"":714,""width"":60,""height"":67}","{""class_name"":""boots""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,1,"{""name"":""rect"",""x"":86,""y"":676,""width"":41,""height"":35}","{""class_name"":""boots""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,2,"{""name"":""rect"",""x"":907,""y"":476,""width"":55,""height"":28}","{""class_name"":""hardhat""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,3,"{""name"":""rect"",""x"":443,""y"":513,""width"":44,""height"":35}","{""class_name"":""mask""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,4,"{""name"":""rect"",""x"":340,""y"":508,""width"":37,""height"":37}","{""class_name"":""mask""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,5,"{""name"":""rect"",""x"":236,""y"":675,""width"":23,""height"":46}","{""class_name"":""boots""}"
image_049.jpg,304532,"{""used_as"":""dataset""}",7,6,"{""name"":""rect"",""x"":560,""y"":722,""width"":41,""height"":32}","{""class_name"":""boots""}"
image_088.jpg,215106,"{""used_as"":""dataset""}",5,0,"{""name"":""rect"",""x"":430,""y"":264,""width"":139,""height"":183}","{""class_name"":""vest""}"
image_088.jpg,215106,"{""used_as"":""dataset""}",5,1,"{""name"":""rect"",""x"":623,""y"":183,""width"":98,""height"":55}","{""class_name"":""hardhat""}"
image_088.jpg,215106,"{""used_as"":""dataset""}",5,2,"{""name"":""rect"",""x"":463,""y"":160,""width"":87,""height"":62}","{""class_name"":""hardhat""}"
image_088.jpg,215106,"{""used_as"":""dataset""}",5,3,"{""name"":""rect"",""x"":678,""y"":721,""width"":68,""height"":35}","{""class_name"":""boots""}"
image_088.jpg,215106,"{""used_as"":""dataset""}",5,4,"{""name"":""rect"",""x"":498,""y"":699,""width"":47,""height"":30}","{""class_name"":""boots""}"
image_085.jpg,230183,"{""used_as"":""dataset""}",5,0,"{""name"":""rect"",""x"":720,""y"":817,""width"":119,""height"":159}","{""class_name"":""mask""}"
image_085.jpg,230183,"{""used_as"":""dataset""}",5,1,"{""name"":""rect"",""x"":569,""y"":212,""width"":208,""height"":135}","{""class_name"":""hardhat""}"
image_085.jpg,230183,"{""used_as"":""dataset""}",5,2,"{""name"":""rect"",""x"":627,""y"":52,""width"":56,""height"":58}","{""class_name"":""mask""}"
image_085.jpg,230183,"{""used_as"":""dataset""}",5,3,"{""name"":""rect"",""x"":788,""y"":40,""width"":34,""height"":46}","{""class_name"":""mask""}"
image_085.jpg,230183,"{""used_as"":""dataset""}",5,4,"{""name"":""rect"",""x"":597,""y"":8,""width"":89,""height"":54}","{""class_name"":""hardhat""}"
image_058.jpg,25036,"{""used_as"":""dataset""}",1,0,"{""name"":""rect"",""x"":191,""y"":2,""width"":86,""height"":130}","{""class_name"":""hardhat""}"
image_050.jpg,114575,"{""used_as"":""dataset""}",2,0,"{""name"":""rect"",""x"":761,""y"":418,""width"":227,""height"":166}","{""class_name"":""hardhat""}"
image_050.jpg,114575,"{""used_as"":""dataset""}",2,1,"{""name"":""rect"",""x"":178,""y"":304,""width"":364,""height"":255}","{""class_name"":""hardhat""}"
image_081.jpg,114938,"{""used_as"":""dataset""}",5,0,"{""name"":""rect"",""x"":918,""y"":96,""width"":60,""height"":52}","{""class_name"":""hardhat""}"
image_081.jpg,114938,"{""used_as"":""dataset""}",5,1,"{""name"":""rect"",""x"":740,""y"":98,""width"":57,""height"":41}","{""class_name"":""hardhat""}"
image_081.jpg,114938,"{""used_as"":""dataset""}",5,2,"{""name"":""rect"",""x"":312,""y"":100,""width"":54,""height"":25}","{""class_name"":""hardhat""}"
image_081.jpg,114938,"{""used_as"":""dataset""}",5,3,"{""name"":""rect"",""x"":564,""y"":108,""width"":49,""height"":36}","{""class_name"":""hardhat""}"
